dataset,index,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-train-acc,prune-test-acc,prune-train-fidelity,prune-test-fidelity,random-prune-train-acc,random-prune-test-acc,random-prune-train-fidelity,random-prune-test-fidelity,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,time
HTRU2,1,16108,1790,13,0.991805314129625,0.9810055865921787,0.991805314129625,0.9798882681564246,1.0,0.9966480446927374,0.990526446486218,0.9791061452513967,0.990526446486218,0.9958659217877095,0.990687856965483,0.9810055865921787,0.997640923764589,0.9966480446927374,1193.6843745708466
HTRU2,2,16108,1790,13,0.9916190712689347,0.976536312849162,0.9916190712689347,0.9782122905027933,1.0,0.9983240223463687,0.9905264464862181,0.9767597765363127,0.9905264464862181,0.9982122905027934,0.9904395331512292,0.9770949720670391,0.9975788428110256,0.9960893854748604,1339.260078907013
HTRU2,3,16108,1790,13,0.9919915569903154,0.9754189944134078,0.9919915569903154,0.9754189944134078,1.0,0.9988826815642458,0.990886516016886,0.9746368715083799,0.990886516016886,0.9965363128491621,0.9910603426868637,0.9737430167597766,0.9981996523466601,0.9972067039106145,1257.9178755283356
HTRU2,4,16108,1790,13,0.9923019617581326,0.9698324022346368,0.9923019617581326,0.9692737430167597,1.0,0.9972067039106145,0.9913955798361064,0.969832402234637,0.9913955798361064,0.9962011173184357,0.991246585547554,0.9675977653631285,0.9973305189967718,0.9921787709497206,1347.189932346344
HTRU2,5,16108,1790,15,0.9916811522224981,0.9804469273743017,0.9916811522224981,0.9815642458100559,1.0,0.9977653631284916,0.9906381922026324,0.9799999999999999,0.9906381922026324,0.99731843575419,0.990687856965483,0.9826815642458101,0.997765085671716,0.9966480446927374,1343.9980072975159
COMPAS-ProPublica,1,6216,691,3,0.6801801801801802,0.6512301013024602,0.6801801801801802,0.6512301013024602,1.0,1.0,0.6783783783783784,0.6497829232995659,0.6783783783783784,0.9829232995658466,0.6771235521235521,0.6439942112879884,0.9618725868725869,0.9696092619392185,253.46432065963745
COMPAS-ProPublica,2,6216,691,4,0.6787323037323038,0.6642547033285094,0.6787323037323038,0.6642547033285094,1.0,1.0,0.6761261261261261,0.6575976845151954,0.6761261261261261,0.968451519536903,0.6784105534105535,0.6599131693198264,0.9938867438867439,0.9956584659913169,259.56850838661194
COMPAS-ProPublica,3,6216,691,3,0.6756756756756757,0.6888567293777135,0.6756756756756757,0.6874095513748191,1.0,0.9985528219971056,0.6724259974259974,0.6839363241678726,0.6724259974259974,0.9586107091172215,0.672940797940798,0.6874095513748191,0.9866473616473617,0.9869753979739508,256.9750282764435
COMPAS-ProPublica,4,6216,691,3,0.6838803088803089,0.61794500723589,0.6838803088803089,0.6164978292329957,1.0,0.9985528219971056,0.6814028314028314,0.6153400868306801,0.6814028314028314,0.9852387843704775,0.6833976833976834,0.6150506512301013,0.9962998712998713,0.9971056439942113,258.97022771835327
COMPAS-ProPublica,5,6216,691,3,0.6772844272844273,0.6671490593342981,0.6772844272844273,0.6671490593342981,1.0,1.0,0.6755791505791505,0.6622286541244573,0.6755791505791505,0.9707670043415341,0.6761583011583011,0.6657018813314037,0.9934041184041184,0.9898697539797395,259.82912373542786
